Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
indian-scarf-turquoise-and-purple-kantha,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/indian_kantha_scarves_a62bc6c6-73c1-4f87-8b24-5067193061c0.jpeg?v=1419279060,Indian kantha scarves,,,,,,,,,,,,,,,,,,
turquoise-and-lavender-kantha-scarf-india,Turquoise and Lavender Kantha Scarf - India,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisan: House of Wandering Silk</strong><br><br>Made from vintage silk saris, this patterned scarf in shades of turquoise and lavender is quilted with a simple running stitch – a technique called “kantha.” Each kantha scarf is one-of-a-kind boasting unique patterns and a mix of both bright and earthy complementary colours. <br><br>Kantha is still the most popular form of embroidery practiced by rural women in the West Bengal State of India. The stitching work can be done in the privacy of the home allowing even women from conservative families to participate.<br><br><em>• 100% silk - dry clean only.</em><br><em>• Dimensions: 200cm x 45cm.</em></p>
<p> </p>",House of Wandering Silk,Scarves,"accessories, House of Wandering Silk, India, scarves, silk",TRUE,Title,Default Title,,,,,a3314610in,400,shopify,0,deny,manual,89,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/HOWS_M-018.jpeg?v=1419279067,,FALSE,,,,,,,,,,,,,,,,,kg
indian-scarf-teal-and-rose-kantha,Teal and Rose Kantha Scarf - India,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisan: House of Wandering Silk</strong><br><br>Made from vintage silk saris, this patterned scarf in shades of green and pink is quilted with a simple running stitch – a technique called “kantha.” Each kantha scarf is one-of-a-kind boasting unique patterns and a mix of both bright and earthy complementary colours. <br><br>Kantha is still the most popular form of embroidery practiced by rural women in the West Bengal State of India. The stitching work can be done in the privacy of the home allowing even women from conservative families to participate.<br><br><em>• 100% silk – dry clean only.</em><br><em>• Dimensions: 200cm x 45cm.</em></p>
<div><em> </em></div>",House of Wandering Silk,Scarves,"accessories, ethical, House of Wandering Silk, India, kantha, recycled, scarves, silk, sustainable",TRUE,Title,Default Title,,,,,a3314608in,400,shopify,0,deny,manual,89,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/teal_rose_indian_kantha_scarf.jpeg?v=1419279118,teal rose Indian kantha scarf,FALSE,,"Discover our unique Indian kantha scarves from our partner House of Wandering Silk. Made from vintage silk saris, each scarf is hand-stitched and one-of-a-kind.",,,,,,,,,,,,,,,kg
indian-scarf-teal-and-rose-kantha,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/indian_kantha_scarves_41f1d68f-38d0-4c7a-9ba8-32b32428c2f6.jpeg?v=1419279118,Indian kantha scarves,,,,,,,,,,,,,,,,,,
indian-scarf-sunshine-kantha,Sunshine Kantha Scarf - India,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisan: House of Wandering Silk</strong><br><br>Made from vintage silk saris, this patterned scarf in lively shades of orange and yellow is quilted with a simple running stitch – a technique called “kantha.” Each kantha scarf is one-of-a-kind boasting unique patterns and a mix of both bright and earthy complementary colours. <br><br>Kantha is still the most popular form of embroidery practiced by rural women in the West Bengal State of India. The stitching work can be done in the privacy of the home allowing even women from conservative families to participate.<br><br><em>• 100% silk – dry clean only.</em><br><em>• Dimensions: 200cm x 45cm.</em></p>
<div><em> </em></div>",House of Wandering Silk,Scarves,"accessories, ethical, House of Wandering Silk, India, kantha, recycled, scarves, silk, sustainable",TRUE,Title,Default Title,,,,,a3314306in,400,shopify,1,deny,manual,89,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/sunshine_Indian_kantha_scarf.jpeg?v=1419279148,sunshine Indian kantha scarf,FALSE,,"Discover our unique Indian kantha scarves from our partner House of Wandering Silk. Made from vintage silk saris, each scarf is hand-stitched and one-of-a-kind.",,,,,,,,,,,,,,,kg
indian-scarf-sunshine-kantha,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/indian_kantha_scarves_dd7d3400-80fe-40cc-bb29-be4e3fa33859.jpeg?v=1419279148,Indian kantha scarves,,,,,,,,,,,,,,,,,,
soft-grey-silk-scarf-afghanistan,Soft Grey Silk Scarf - Afghanistan,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisan: Saleh Fine Silks</strong></p>
<p>This handwoven, pure silk scarf in soft grey is exquisitely soft to touch and very lightweight. It is perfect for travelling and can dress up an outfit for any occasion.</p>
<p>Saleh tries to buy silk from Afghanistan but silk production was severely affected during the civil war and under Taliban rule when the mulberry orchards, home to the silk worms, were cut down or destroyed. Today silk weavers like Saleh are forced to buy in some silk from Pakistan and China at inflated prices. Although there are still as many as 36 silk workshops in Herat, home to the traditional Afghan silk industry, there are only three workshops left in Kabul today. </p>
<p><em>• 100% silk - dry clean only.</em> <br><em>• Dimensions: 190cm x 65cm.</em></p>",Saleh Fine Silks,Scarves,"accessories, Afghanistan, Saleh Fine Silks, scarves, silk, soft grey",TRUE,Title,Default Title,,,,,a3320120af,400,shopify,24,deny,manual,49,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/13038FAW_PRO_ScarfF_088.jpeg?v=1419279197,,FALSE,,,,,,,,,,,,,,,,,kg
soft-grey-silk-scarf-afghanistan,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/13039FAW_PRO_SQ_Scarf6_115.jpeg?v=1419279197,,,,,,,,,,,,,,,,,,,
sage-green-silk-scarf-afghanistan,Sage Green Silk Scarf - Afghanistan,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisan: Saleh Fine Silks</strong></p>
<p>This handwoven, pure silk scarf in sage green is exquisitely soft to touch and very lightweight. It is perfect for travelling and can dress up an outfit for any occasion.</p>
<p>Saleh tries to buy silk from Afghanistan but silk production was severely affected during the civil war and under Taliban rule when the mulberry orchards, home to the silk worms, were cut down or destroyed. Today silk weavers like Saleh are forced to buy in some silk from Pakistan and China at inflated prices. Although there are still as many as 36 silk workshops in Herat, home to the traditional Afghan silk industry, there are only three workshops left in Kabul today.</p>
<p><em>• 100% silk - dry clean only.</em> <br><em>• Dimensions: 190cm x 65cm.</em></p>",Saleh Fine Silks,Scarves,"Afghanistan, sage green, Saleh Fine Silks, scarves, silk",TRUE,Title,Default Title,,,,,a3320706af,400,shopify,20,deny,manual,49,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/13038FAW_PRO_ScarfE_083.jpeg?v=1419279416,,FALSE,,,,,,,,,,,,,,,,,kg
sage-green-silk-scarf-afghanistan,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/13039FAW_PRO_SQ_Scarf3_103.jpeg?v=1419279416,,,,,,,,,,,,,,,,,,,
